精灵名,形态,状态,属性,S2生命,S2物攻,S2魔攻,S2物防,S2魔防,S2速度,S2总和
雪影冰灵,首领,新增,冰,130,120,114,66,130,90,650
权杖-Ⅱ,一阶,新增,机械,82,84,78,109,109,60,522
小怂猫,一阶,变化,武,74,106,101,89,76,76,522
怒目怂猫,二阶,变化,武,92,132,126,111,95,95,651
小狮鹫,崖间地的样子,变化,翼,64,70,41,76,39,72,362
小狮鹫,高山地的样子,变化,翼,65,66,35,74,42,75,357
神圣狮鹫,崖间地的样子,变化,翼,85,93,55,102,52,96,483
神圣狮鹫,高山地的样子,变化,翼,87,88,47,98,56,100,476
皇家狮鹫,崖间地的样子,变化,翼,107,116,69,127,65,120,604
皇家狮鹫,高山地的样子,变化,翼,109,110,59,123,70,125,596
波波螺,一阶,变化,地,67,59,59,87,66,42,380
消波螺,二阶,变化,地,89,78,78,116,88,56,505
嗜波螺,三阶,变化,"地,水",112,98,98,146,110,70,634
菇菇丁,一阶,变化,地,89,66,62,75,62,42,396
多菇丁,二阶,变化,地,119,88,83,100,82,56,528
九幽菇,三阶,变化,"地,草",149,110,103,125,103,70,660
海豹战士,一阶,新增,武,72,91,87,89,62,80,481
号儿鱼,一阶,变化,水,90,24,76,76,88,84,438
圆号鱼,二阶,变化,水,113,31,95,95,110,105,549
棋棋,白子,变化,武,72,100,36,70,56,100,434
棋骑士,白子,变化,武,90,126,45,88,69,125,543
棋契陛下,第1条,新增,武,90,200,91,140,115,125,761
棋契陛下,黑子,新增,武,83,194,88,135,111,125,736
棋契陛下,第2条,新增,武,93,143,143,133,123,90,725
棋契陛下,第3条,新增,武,89,157,80,179,125,75,705
棋契陛下,第4条,新增,武,126,147,147,143,118,85,766
奇梦咪,首领,新增,萌,81,128,119,123,123,110,684
花怨鳗,一阶,新增,地,232,73,73,110,90,52,630
伊兰龙,首领,新增,龙,112,91,190,69,99,90,651
古钟蛇,一阶,变化,萌,85,69,69,64,91,80,458
寒音蛇,二阶,变化,萌,106,87,87,80,114,100,574
海枝枝,碧蓝珊瑚,变化,水,78,58,148,96,120,110,610
海枝枝,杏黄百合,变化,水,91,48,125,104,129,110,607
海枝枝,洋红沙丁,变化,水,97,62,136,84,121,110,610
电动长颈鹿,一阶,变化,电,55,46,12,65,47,72,297
奔乐鹿,二阶,变化,电,73,61,16,86,63,96,395
爵士鹿,三阶,变化,电,92,77,20,108,79,120,496
波普鹿,首领,新增,电,92,79,21,108,79,120,499
小鹬,一阶,变化,翼,58,59,59,67,52,69,364
鄙目鹬,二阶,变化,翼,77,79,79,90,70,92,487
高脚鹬,三阶,变化,翼,96,98,98,112,87,115,606
高帽鹬者,首领,新增,翼,96,106,106,119,93,115,635
香草甜甜,二阶,变化,冰,96,90,95,56,74,80,491
香草甜甜,杨桃饰品,变化,冰,88,92,96,58,77,80,491
圣代甜甜,三阶,变化,冰,119,112,119,70,92,100,612
圣代甜甜,樱桃草莓口味,变化,冰,107,120,110,81,96,100,614
圣代甜甜,樱桃抹茶口味,变化,冰,113,112,110,79,92,105,611
圣代甜甜,蓝莓巧克力口味,变化,冰,114,117,110,79,92,100,612
圣代甜甜,蓝莓草莓口味,变化,冰,113,109,100,90,96,100,608
圣代甜甜,蓝莓抹茶口味,变化,冰,121,100,101,86,92,105,605
圣代甜甜,杨桃巧克力口味,变化,冰,110,116,120,73,96,100,615
圣代甜甜,杨桃草莓口味,变化,冰,108,110,110,84,99,100,611
刺轮砣,上弦的样子,变化,毒,100,80,78,80,65,84,487
月亮砣,上弦的样子,变化,毒,125,100,98,100,81,105,609
豆丁鱼,一阶,变化,水,53,62,65,60,62,81,383
快鳍鱼,二阶,变化,水,71,82,87,80,83,108,511
龙鱼,三阶,变化,"水,龙",89,103,109,100,104,135,640
乌达,极昼的样子,变化,恶,80,95,49,70,42,33,369
迷你乌,极昼的样子,变化,恶,107,126,66,93,56,44,492
乌拉塔,极昼的样子,变化,恶,134,158,82,116,70,55,615
可立鸡,一阶,变化,火,67,72,72,61,52,66,390
晕晕鸡,二阶,变化,火,89,96,96,82,70,88,521
绅士鸡,三阶,变化,"火,武",112,120,120,102,87,110,651
武者鸡,三阶,变化,"火,武",116,137,66,111,70,95,595
地鼠,枯水期的样子,变化,地,66,71,31,72,51,66,357
地鼠,储水时的样子,变化,地,67,71,14,51,79,60,342
遁鼠,枯水期的样子,变化,地,88,95,41,97,68,88,477
遁鼠,储水时的样子,变化,地,89,94,18,68,105,80,454
遁地鼠,枯水期的样子,变化,地,110,119,51,121,85,110,596
遁地鼠,储水时的样子,变化,地,112,118,23,85,131,100,569
圣剑骑士,首领,新增,机械,187,154,148,183,183,65,920
嗜光嗡嗡,一阶,变化,恶,74,91,91,57,100,92,505
窃光蚊,二阶,变化,"恶,光",93,113,113,71,125,115,630
钨丝贝贝,一阶,新增,机械,62,68,63,78,54,33,358
辉光幕机,二阶,新增,机械,83,91,84,104,72,44,478
机幕方舟,三阶,新增,机械,104,113,105,130,90,55,597
凡雀,一阶,新增,翼,71,55,53,52,66,75,372
紫翎鹰,二阶,新增,翼,94,74,71,69,88,100,496
凡鹰,三阶,新增,翼,118,92,89,86,110,125,620
小雪人,一阶,新增,冰,101,85,80,78,105,60,509
雪怪,二阶,新增,冰,126,107,99,98,131,75,636
爆焰仔,一阶,新增,火,89,101,50,105,65,88,498
爆焰喷喷,二阶,新增,"火,龙",112,127,63,131,81,110,624
猴麦仔,一阶,新增,普通,93,75,121,50,102,88,529
音碟吼,二阶,新增,"普通,机械",116,94,151,63,127,110,661
加油海葵,一阶,新增,水,93,87,87,102,102,76,547
加油蟹,二阶,新增,"水,萌",116,108,108,128,128,95,683
加油蟹,单只海葵的样子,新增,"水,萌",116,155,61,128,128,95,683
小丑豆豆,一阶,新增,恶,66,87,88,49,74,72,436
小丑兔,二阶,新增,恶,88,116,118,66,99,96,583
小丑公爵,三阶,新增,恶,111,145,147,82,124,120,729
烟花团,一阶,新增,火,61,35,89,50,78,76,389
烟花伯爵,二阶,新增,"火,毒",76,44,111,62,97,95,485
咕咕帽,一阶,新增,幽,103,74,72,110,76,80,515
咕德帽帽,二阶,新增,幽,128,92,90,137,95,100,642
炫光迪迪,一阶,新增,电,83,95,111,52,106,104,551
霹雳迪迪,二阶,新增,"电,光",104,119,139,65,133,130,690
小鼓象,一阶,新增,机械,106,100,63,138,68,64,539
巨鼓象,二阶,新增,机械,133,125,79,173,85,80,675
牵线木偶,一阶,新增,幻,77,83,89,69,107,84,509
帅帅魔偶,二阶,新增,幻,97,104,111,86,133,105,636
权杖-II,,删除,,,,,,,,
海报战士,,删除,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
石刺王蜥,,删除,,,,,,,,
绿儿松鼠,,删除,,,,,,,,
花苑鳗,,删除,,,,,,,,
